,Set,Name,Amount,Foil?,Notes
,Gatecrash,Knight Watch,1,,
,Mirrodin Besieged,Phyrexian Rebirth,1,,
,Mirrodin Besieged,Priests of Norn,1,,
,Mirrodin Besieged,Ardent Recruit,2,,
,Mirrodin Besieged,Leonin Skyhunter,1,,
,Mirrodin Besieged,Gore Vassal,1,,
,New Phyrexia,Apostle's Blessing,1,,
,New Phyrexia,War Report,1,,
,New Phyrexia,Remember the Fallen,1,,
,New Phyrexia,Shriek Raptor,1,,
,Mirrodin,Leonin Elder,1,,
,Tenth Edition,Loxodon Mystic,1,,
,Torment,Strength of Isolation,1,,
,Rise of the Eldrazi,Luminous Wake,1,,
,Rise of the Eldrazi,Puncturing Light,1,,
,Rise of the Eldrazi,Harmless Assault,1,,
,Magic 2012,Cancel,5,,
,Magic 2012,Mana Leak,2,,
,Magic 2012,Unsummon,2,,
,Magic 2012,Negate,5,,
,Magic 2012,Turn to Frog,2,,
,Magic 2012,Flashfreeze,5,,
,Magic 2012,Divination,1,,
,Magic 2012,Ponder,2,,
,Magic 2012,Flight,4,,
,Magic 2012,Mind Control,3,,
,Magic 2012,Ice Cage,3,,
,Magic 2012,Jace's Erasure,2,,
,Magic 2012,Levitation,2,,
,Magic 2012,Master Thief,1,,
,Magic 2012,Merfolk Looter,4,,
,Magic 2012,Phantasmal Bear,5,,
,Magic 2012,Coral Merfolk,3,,
,Magic 2012,Amphin Cutthroat,2,,
,Magic 2012,Aether Adept,1,,
,Magic 2012,Phantasmal Dragon,2,,
,Magic 2012,Skywinder Drake,5,,
,Magic 2012,Belltower Sphinx,2,,
,Magic 2012,Chasm Drake,1,,
,Magic 2012,Aven Fleetwing,3,,
,Magic 2012,Harbor Serpent,3,,
,Magic 2012,Djinn of Wishes,1,,
,Magic 2013,Talrand's Invocation,1,,
,Magic 2013,Negate,1,,
,Magic 2013,Unsummon,1,,
,Magic 2013,Rewind,1,,
,Magic 2013,Scroll Thief,1,,
,Magic 2013,Archaeomancer,1,,
,Magic 2013,"Talrand, Sky Summoner",1,,
,Dragon's Maze,Opal Lake Gatekeepers,2,,
,Dragon's Maze,Uncovered Clues,1,,
,Magic 2010,Telepathy,2,,
,Magic 2010,Cancel,1,,
,Magic 2010,Snapping Drake,1,,
,Magic 2010,Disorient,1,,
,New Phyrexia,Arm with Aether,1,,
,New Phyrexia,Gitaxian Probe,1,,
,New Phyrexia,Numbing Dose,1,,
,New Phyrexia,Defensive Stance,1,,
,New Phyrexia,Chained Throatseeker,1,,
